Sample	posterior	likelihood	prior	TreeHeight	varValues	ORCucldMean	ORCsigma	ORCRatesStat.mean	ORCRatesStat.variance	ORCRatesStat.coefficientOfVariation	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD
5940000	5309.62399541792	6208.65422643491	-899.030231016995	63.5915528633577	0.0031048308997428	0.0104868150921773	1.73470876117856	0.0146806271663611	0.0025522887466585	4.11282634192546	-160.051530671583	0.027015915776171	0.823996970340471	0.117602905668673	90.4388958528351	2
5950000	5302.83398413307	6204.88957231513	-902.055588182059	72.5976587757389	0.00299302534615347	0.0101699446805232	1.82884824830587	0.0125578164529163	0.000764651941526064	2.98369274216387	-154.964404627042	0.0155123962247857	0.8026170808356	0.143884532087923	76.6472005053253	2
5960000	5276.83542542109	6199.99680272581	-923.161377304717	88.5915935434185	0.0022034031163117	0.0100849596070732	1.75498829520916	0.015770709929717	0.000565254720556889	2.45858431589049	-159.57160590554	0.0149723134055092	0.857695977246505	0.0993010982016672	103.695729721568	2
5970000	5302.55426632332	6213.58997986535	-911.035713542029	48.4671747444344	0.00262571350672899	0.010391282448671	1.6741186831472	0.0173616608402608	0.0106586192958324	4.97363190613174	-157.663954447487	0.0638367605551227	0.378038441148277	0.342654968471153	65.4781513290135	2
5980000	5289.10007583528	6212.84577502578	-923.745699190499	72.1211137141617	0.00215207960882066	0.0100787952589074	1.70685715644549	0.0199647517173027	0.00160466184595813	3.33169125538442	-156.102702339256	0.0139356809885591	0.878190772705628	0.0945851824023058	81.1199585900221	2
5990000	5289.90939405335	6206.17889766541	-916.269503612058	77.6133791525234	0.0024080899522803	0.0100430881085278	1.61785755539363	0.0148512224356485	0.000654839016021348	2.62051133225956	-157.064721425062	0.0323191927514727	0.629225780117323	0.19157540728053	80.3680341324596	2
6000000	5296.29518492711	6227.33434965493	-931.039164727825	79.3614595577963	0.00209042939036447	0.0102199360642978	1.79894319401288	0.0164965356644006	0.00273689561009167	3.09489333204629	-172.4242038395	0.0271530122253313	0.695006472430708	0.119619005279737	99.39180177756	2
6010000	5306.85988628759	6221.59591541823	-914.736029130636	82.3698068645023	0.00238873748171889	0.0102796484058731	1.79340883017788	0.017530514851672	0.00105303935633413	3.38707638393927	-166.948317610663	0.0237513001551202	0.750911093919073	0.170481033997315	83.3687863874658	2
6020000	5304.94622706667	6228.10200045244	-923.155773385769	88.4638065467689	0.00238740393703913	0.0105531353466688	1.90773474855422	0.0159028198016413	0.00294191429167961	4.55254296893733	-172.075904999315	0.0282573119722277	0.614581367223485	0.187212921958928	106.314606155607	2
6030000	5326.07594742582	6240.94647893022	-914.870531504393	106.165174241752	0.00234768467875586	0.0101852014501692	1.8265304197375	0.0150722733001787	0.0010086222253224	3.14847535263988	-169.642370845529	0.0224842021339396	0.603796693452286	0.230834411310039	106.610490234031	2
